,X,Y,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,METEREDAREAS_ENERGY,METEREDAREAS_WATER,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LASTUPDATE,OBJECTID
4356,-8577269.15359799,4707256.03796011,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2012,In Compliance,2350 H ST,George Washington University,2.0,"2350 H Street, NW",WASHINGTON,DC,,1994.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,87215.0,68.0,70.9,69.3,167.8,152.1,956.08,0.0,,0.0,No Selection Made,,39040.2,0.0,38.8992826278,-77.0509174675,243315.0,395583.17790005,136826.899202365,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1548905.688745604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573308
4357,-8577269.15359799,4707256.03796011,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2013,In Compliance,2350 H ST,George Washington University,2.0,"2350 H Street, NW",WASHINGTON,DC,20052,1994.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562.0,58.0,76.8,77.3,166.4,166.9,919.4,7.1,,9594.5,Whole Building,,46385.605,0.0,38.8992826278,-77.0509174675,243315.0,395583.177900052,136826.899202364,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1558010.24430912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573309
4358,-8577271.97709861,4709600.89893193,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2014,In Compliance,2350 H ST,George Washington University,2.0,"2350 H St, NW",WASHINGTON,DC,20052,1997.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562.0,59.0,78.4,77.8,166.0,164.7,958.3,7.4,,9532.8,Whole Building,,49719.96325,0.0,38.915674,-77.05094283,243315.0,395581.993236267,138646.47630957,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1519817.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573310
4359,-8577269.25480274,4707261.72706066,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2015,In Compliance,2350 H ST NW,George Washington University,2.0,"2350 H St, NW",Washington,DC,20052,1997.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562.0,62.0,76.3,75.1,161.8,156.0,934.1,7.2,,9508.9,Whole Building,,48190.06146,0.0,38.8993224015,-77.0509183763,243315.0,395583.101525657,136831.314437272,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1484648.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573311
4360,-8577269.25480274,4707261.72706066,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2016,In Compliance,2350 H ST NW,George Washington University,2.0,"2350 H St, NW",WASHINGTON,DC,20052,1997.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562.0,73.0,67.2,69.0,141.9,143.8,734.9,5.7,,6469.7,Whole Building,,42852.85034,0.0,38.8993224015,-77.0509183763,243315.0,395583.101525657,136831.314437272,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1296473.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573312
4361,-8577269.25480274,4707261.72706066,PM1030402,0042 0054,1030402.0,Amsterdam Hall,,,2017,In Compliance,2350 H ST NW,George Washington University,2.0,"2350 H St, NW",WASHINGTON,DC,20052,1997.0,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562.0,67.0,66.3,70.0,144.3,148.2,724.2,5.6,,6872.6,Whole Building,,39624.20522,0.0,38.8993224015,-77.0509183763,243315.0,395583.101525657,136831.314437272,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1357187.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573313
4362,-8581763.90856937,4709916.41652907,PM1030454,1374 0850,1030454.0,Somers Hall,,,2013,In Compliance,2100 FOXHALL RD NW,George Washington University,3.0,"2100 Foxhall Road, NW",WASHINGTON,DC,20007,1970.0,Residence Hall/Dormitory,Residence Hall/Dormitory,271712,74541.0,56.0,73.7,74.1,168.7,169.1,531.4,7.1,,4369.6,Whole Building,,22395.71,0.0,38.9178792874,-77.0912945247,224574.0,392082.746300102,138894.007802372,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,954562.36927104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573314
4363,-8581763.90856937,4709916.41652907,PM1030454,1374 0850,1030454.0,Somers Hall,,,2014,In Compliance,2100 FOXHALL RD NW,George Washington University,3.0,"2100 Foxhall Road, NW",WASHINGTON,DC,20007,1970.0,Residence Hall/Dormitory,Residence Hall/Dormitory,271712,74541.0,58.0,72.7,72.4,166.3,165.2,547.0,7.3,,4326.9,Whole Building,,22111.28381,0.0,38.9178792874,-77.0912945247,224574.0,392082.746300101,138894.007801373,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,940528.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573315
4364,-8581521.00658394,4710064.75505587,PM1030454,1374 0850,1030454.0,Somers Hall,,,2015,In Compliance,2100 FOXHALL RD NW,George Washington University,3.0,"2100 Foxhall Road, NW",Washington,DC,20007,1970.0,Residence Hall/Dormitory,Residence Hall/Dormitory,119336,74541.0,41.0,87.4,87.2,203.5,198.8,667.7,9.0,,3549.9,Whole Building,,25274.16977,0.0,38.9189160647,-77.0891124991,224574.0,392272.088446509,139008.911743061,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1167835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573316
4365,-8581521.00658394,4710064.75505587,PM1030454,1374 0850,1030454.0,Somers Hall,,,2016,In Compliance,2100 FOXHALL RD NW,George Washington University,3.0,"2100 Foxhall Road, NW",WASHINGTON,DC,20007,1970.0,Residence Hall/Dormitory,Residence Hall/Dormitory,271712,74541.0,50.0,78.0,77.6,182.5,178.3,529.9,7.1,,3773.9,Whole Building,,22270.39927,0.0,38.9189160647,-77.0891124991,224574.0,392272.088446509,139008.911743061,2024/10/08 01:01:27+00,0.0,0.0,0.0,0.0,1051816.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024/04/04 04:00:00+00,3573317
