PROPERTYNAME,OWNEROFRECORD,REPORTINGYEAR,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER
555 Penn,JOHNS HOPKINS UNIVERSITY,2021,49.2,50.4,121.6,122.8,2314.5,4.1,3479.1,2380263.7,2272256.6,2551768.7,2309788.2,2005702.5,1745792.3,1630943.0,1528916.0,1483575.6,1462149.9,1480087.8,1791793.2,1153591.9,1139527.4,737032.0,239922.2,55325.5,10511.2,5620.1,6782.9,15285.0,85281.5,806749.1,1010937.0
555 Penn,THE JOHNS HOPKINS UNIVERSITY,2023,95.7,96.7,255.1,256.2,4924.9,8.1,2640.6,4913063.1,3688806.0,3500066.2,3080491.1,2854650.7,3219963.8,4556421.9,5294404.7,5093514.0,5518081.3,5972447.2,5732181.3,1362353.9,1218638.8,1092374.6,319677.8,32908.3,8215.1,4863.0,6813.6,18404.8,27549.4,145089.9,209592.6
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2017,53.8,54.4,161.0,161.6,695.2,5.7,1600.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2018,10.9,70.0,17.1,183.2,86.8,0.7000000000000001,1495.0,511956.3,464394.1,465090.9,441370.0,449066.8,445012.9,474248.9,1761592.2,1245231.6,402871.4,6914.7,376362.2,467779.9,312391.2,84946.8,548416.3,201955.8,1327.2,26.5,0.0,447.0,7218.6,247899.9,181956.1
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2019,62.3,63.0,162.6,163.3,686.4,5.7,1506.5,511956.3,464394.1,465090.9,441370.0,449066.8,357590.4,320852.4,1614112.3,1105216.3,258339.1,292391.7,433721.3,173181.3,231863.0,213018.5,39833.0,6499.4,1293.6,25.8,0.0,285.7,191.0,82535.8,75684.3
801 North Capitol Street,ASB 601 NORTH CAPITOL LLC,2020,39.8,40.5,105.3,106.1,442.7,3.7,1286.5,531999.1,553631.2,512482.4,380711.1,233244.3,217412.6,324754.1,341609.5,334580.7,299846.6,318953.7,341745.9,104685.2,60763.6,82774.8,29262.2,2952.0,0.0,0.0,0.0,0.0,0.0,25975.0,115590.2
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2021,35.5,36.1,93.0,93.6,381.0,3.2,770.7,434074.7,386989.1,397634.5,305305.8,296502.8,249758.4,288655.2,276713.2,331509.9,271049.3,275484.9,332192.3,159978.7,80915.4,75330.7,14880.0,0.0,0.0,0.0,0.0,0.0,0.0,27575.0,90902.1
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2022,34.8,35.2,89.4,90.2,357.7,3.0,740.6,403518.0,349042.8,325029.5,268018.5,272260.3,268520.3,284454.5,305365.4,267710.1,255947.0,305373.2,346617.9,108976.8,74106.8,58532.2,35547.1,6240.0,0.0,0.0,0.0,0.0,946.8,98039.2,173359.2
801 North Capitol Street,ASB 801 NORTH CAPITOL LLC,2023,36.3,37.9,90.2,92.0,365.5,3.0,973.3,359723.4,296491.0,300919.8,273251.6,258654.4,272512.5,312830.2,336984.3,316301.6,288080.0,282328.7,304491.3,104275.2,192041.1,113751.5,15807.1,0.0,0.0,0.0,0.0,0.0,58447.6,104128.4,197316.9
Trinity Washington University,TRINITY COLLEGE,2018,107.3,108.1,178.0,178.2,4460.4,7.3,17475.6,1772604.4,1622977.6,1766558.2,1652440.7,1823850.1,2019057.5,2305882.0,2433167.3,2331498.8,1883963.2,1617129.6,1606670.1,8073103.3,6116260.7,6348018.2,3592753.5,1361788.7,779003.4,696367.8,758283.4,1011907.9,2526709.0,5476186.2,6087983.2
