Fiscal Year,Source,Value,Unit
2005,Total Purchased Electricity Consumption,"54,636,650",kWh
2005,Voluntary unbundled RECs Purchased,"2,166,770",kWh
2005,Voluntary unbundled RECs Verification,Not verified,
2006,Total Purchased Electricity Consumption,"58,356,677",kWh
2006,Voluntary unbundled RECs Purchased,"2,166,770",kWh
2006,Voluntary unbundled RECs Verification,Not verified,
2007,Total Purchased Electricity Consumption,"54,882,694",kWh
2007,Voluntary unbundled RECs Purchased,"2,166,770",kWh
2007,Voluntary unbundled RECs Verification,Not verified,
2008,Total Purchased Electricity Consumption,"52,497,778.90",kWh
2008,Voluntary unbundled RECs Purchased,"2,166,770",kWh
2008,Voluntary unbundled RECs Verification,Not verified,
2009,Total Purchased Electricity Consumption,"53,202,416",kWh
2009,Voluntary unbundled RECs Purchased,"11,000,000",kWh
2009,Voluntary unbundled RECs Verification,Not verified,
2010,Total Purchased Electricity Consumption,"53,785,927.33",kWh
2010,Voluntary unbundled RECs Purchased,"27,890,500",kWh
2010,Voluntary unbundled RECs Verification,Not verified,
2011,Total Purchased Electricity Consumption,"55,564,592",kWh
2011,Voluntary unbundled RECs Purchased,"55,564,590",kWh
2011,Voluntary unbundled RECs Verification,Not verified,
2012,Total Purchased Electricity Consumption,"52,295,226",kWh
2012,Voluntary unbundled RECs Purchased,"52,295,230",kWh
2012,Voluntary unbundled RECs Verification,Not verified,
2013,Total Purchased Electricity Consumption,"48,722,357.75",kWh
2013,Voluntary unbundled RECs Purchased,"48,722,360",kWh
2013,Voluntary unbundled RECs Verification,Not verified,
2014,Total Purchased Electricity Consumption,"55,546,402.41",kWh
2014,Voluntary unbundled RECs Purchased,"55,546,400",kWh
2014,Voluntary unbundled RECs Verification,Not verified,
2015,Total Purchased Electricity Consumption,"49,822,590.56",kWh
2015,Voluntary unbundled RECs Purchased,"55,000,000",kWh
2015,Voluntary unbundled RECs Verification,Not verified,
2016,Total Purchased Electricity Consumption,"54,168,099",kWh
2016,Voluntary unbundled RECs Purchased,"54,689,330",kWh
2016,Voluntary unbundled RECs Verification,Not verified,
2017,Total Purchased Electricity Consumption,"54,884,567",kWh
2017,Voluntary unbundled RECs Purchased,"56,520,000",kWh
2017,Voluntary unbundled RECs Verification,Green-e,
2018,Total Purchased Electricity Consumption,"54,924,048.78",kWh
2018,Community solar Purchased,"27,443,000",kWh
2018,Community solar Verification,Not verified,
2018,Voluntary unbundled RECs Purchased,"32,000,000",kWh
2018,Voluntary unbundled RECs Verification,Not verified,
2019,Total Purchased Electricity Consumption,"57,627,226.67",kWh
2019,Power purchase agreement Purchased,"25,452,400",kWh
2019,Power purchase agreement Verification,Not verified,
2019,Voluntary unbundled RECs Purchased,"33,570,910",kWh
2019,Voluntary unbundled RECs Verification,Not verified,
2020,Total Purchased Electricity Consumption,"51,063,156",kWh
2020,Power purchase agreement Purchased,"25,541,240",kWh
2020,Power purchase agreement Verification,Other,
2020,Voluntary unbundled RECs Purchased,"26,087,770",kWh
2020,Voluntary unbundled RECs Verification,"Not verified, Other",
2021,Total Purchased Electricity Consumption,"43,786,206",kWh
2021,Community solar Purchased,"32,480",kWh
2021,Community solar Verification,Other,
2021,Power purchase agreement Purchased,"32,217,500",kWh
2021,Power purchase agreement Verification,"Not verified, Other",
2021,Voluntary unbundled RECs Purchased,"12,449,600",kWh
2021,Voluntary unbundled RECs Verification,"Not verified, Other",
2022,Total Purchased Electricity Consumption,"41,901,993.49",kWh
2022,Community solar Purchased,"31,193",kWh
2022,Community solar Verification,Other,
2022,Power purchase agreement Purchased,"26,423,000",kWh
2022,Power purchase agreement Verification,Other,
2022,Voluntary unbundled RECs Purchased,"15,798,452",kWh
2022,Voluntary unbundled RECs Verification,"Not verified, Other",
2023,Total Purchased Electricity Consumption,"48,238,393",kWh
2023,Community solar Purchased,"18,435",kWh
2023,Community solar Verification,Other,
2023,Power purchase agreement Purchased,"22,532,000",kWh
2023,Power purchase agreement Verification,Other,
2023,Voluntary unbundled RECs Purchased,"26,668,388",kWh
2023,Voluntary unbundled RECs Verification,Not verified,
