Fiscal Year,Scope,Source,GHG MTCDE
2008,1,Other On-Campus Stationary,"27,492.00"
2008,1,Direct Transportation,"1,300.00"
2008,1,Refrigerants & Chemicals,"1,283.70"
2008,1,Fertilizer & Animals,8
2008,2,Purchased Electricity,"74,980.00"
2008,3,Student Commuting,"3,994.50"
2008,3,Directly Financed Air Travel,"12,749.00"
2008,3,Other Directly Financed Travel,221
2008,3,Solid Waste,564
2008,3,Wastewater,117
2008,3,Paper Purchasing,716
2008,3,Other Purchases / Services,"4,875.70"
2009,1,Other On-Campus Stationary,"25,576.00"
2009,1,Direct Transportation,"1,689.00"
2009,1,Refrigerants & Chemicals,905.68
2009,1,Fertilizer & Animals,8.32
2009,2,Purchased Electricity,"70,936.00"
2009,3,Student Commuting,"4,933.43"
2009,3,Directly Financed Air Travel,"12,788.00"
2009,3,Other Directly Financed Travel,265
2009,3,Solid Waste,479
2009,3,Wastewater,108
2009,3,Paper Purchasing,612
2009,3,Other Purchases / Services,"6,366.65"
2010,1,Other On-Campus Stationary,"26,003.00"
2010,1,Direct Transportation,"1,328.00"
2010,1,Refrigerants & Chemicals,521.11
2010,1,Fertilizer & Animals,7.17
2010,2,Purchased Electricity,"67,388.00"
2010,3,Student Commuting,"4,945.48"
2010,3,Directly Financed Air Travel,"18,410.00"
2010,3,Other Directly Financed Travel,312
2010,3,Wastewater,97
2010,3,Paper Purchasing,358
2010,3,Other Purchases / Services,"6,538.52"
2011,1,Other On-Campus Stationary,"27,431.49"
2011,1,Direct Transportation,"1,352.55"
2011,1,Refrigerants & Chemicals,548.56
2011,1,Fertilizer & Animals,36.47
2011,2,Purchased Electricity,"73,392.61"
2011,3,Student Commuting,"6,183.59"
2011,3,Directly Financed Air Travel,"10,367.99"
2011,3,Other Directly Financed Travel,"2,700.39"
2011,3,Study Abroad Air Travel,"8,204.55"
2011,3,Wastewater,102.07
2011,3,Paper Purchasing,410.72
2011,3,Other Purchases / Services,"6,954.27"
2012,1,Other On-Campus Stationary,"24,904.51"
2012,1,Direct Transportation,"1,345.04"
2012,1,Refrigerants & Chemicals,544.44
2012,1,Fertilizer & Animals,24.04
2012,2,Purchased Electricity,"73,022.24"
2012,3,Student Commuting,"6,209.95"
2012,3,Directly Financed Air Travel,"13,280.26"
2012,3,Other Directly Financed Travel,"3,109.92"
2012,3,Study Abroad Air Travel,"9,829.73"
2012,3,Wastewater,97.91
2012,3,Paper Purchasing,462.56
2012,3,Other Purchases / Services,"6,826.31"
2013,1,Other On-Campus Stationary,"20,539.00"
2013,1,Direct Transportation,"1,337.00"
2013,1,Refrigerants & Chemicals,540.39
2013,1,Fertilizer & Animals,7.35
2013,2,Purchased Electricity,"64,198.00"
2013,3,Student Commuting,"4,773.75"
2013,3,Directly Financed Air Travel,"17,784.00"
2013,3,Other Directly Financed Travel,413.5
2013,3,Wastewater,113.1
2013,3,Paper Purchasing,370.9
2013,3,Other Purchases / Services,"6,861.74"
2014,1,Other On-Campus Stationary,"23,235.22"
2014,1,Direct Transportation,668.56
2014,1,Refrigerants & Chemicals,451.36
2014,1,Fertilizer & Animals,14.83
2014,2,Purchased Electricity,"73,104.68"
2014,3,Student Commuting,"6,210.93"
2014,3,Directly Financed Air Travel,"16,657.40"
2014,3,Other Directly Financed Travel,"4,094.77"
2014,3,Study Abroad Air Travel,"9,979.90"
2014,3,Wastewater,110.55
2014,3,Paper Purchasing,494.03
2014,3,Other Purchases / Services,"7,233.37"
2015,1,Other On-Campus Stationary,"21,933.09"
2015,1,Direct Transportation,441.76
2015,1,Refrigerants & Chemicals,"1,017.24"
2015,1,Fertilizer & Animals,16.14
2015,2,Purchased Electricity,"79,567.73"
2015,2,Purchased Steam / Chilled Water,343
2015,3,Student Commuting,"9,929.62"
2015,3,Directly Financed Air Travel,"14,965.30"
2015,3,Other Directly Financed Travel,"4,251.65"
2015,3,Study Abroad Air Travel,"8,422.80"
2015,3,Wastewater,107.06
2015,3,Paper Purchasing,417.71
2015,3,Other Purchases / Services,"7,019.22"
2016,1,Other On-Campus Stationary,"21,900.97"
2016,1,Direct Transportation,763.06
2016,1,Refrigerants & Chemicals,"1,948.40"
2016,1,Fertilizer & Animals,7.35
2016,2,Purchased Electricity,"22,249.75"
2016,2,Purchased Steam / Chilled Water,262.56
2016,3,Student Commuting,"9,488.40"
2016,3,Directly Financed Air Travel,"13,950.80"
2016,3,Other Directly Financed Travel,"4,185.20"
2016,3,Study Abroad Air Travel,"10,908.80"
2016,3,Wastewater,96.06
