Fiscal Year,Scope,Source,GHG MTCDE
2004,1,Co-gen Steam,"10,212.33"
2004,1,Other On-Campus Stationary,954.34
2004,1,Direct Transportation,563.77
2004,1,Refrigerants & Chemicals,877.07
2004,1,Fertilizer & Animals,1.33
2004,2,Purchased Electricity,"22,785.34"
2004,3,Directly Financed Air Travel,"1,508.49"
2004,3,Other Directly Financed Travel,1.25
2004,3,Study Abroad Air Travel,651.2
2004,3,Solid Waste,"3,805.56"
2004,3,Paper Purchasing,77.18
2004,3,T&D Losses,"2,253.49"
2004,3,FERA,"3,901.16"
2005,1,Co-gen Steam,"11,119.48"
2005,1,Other On-Campus Stationary,809.72
2005,1,Direct Transportation,561.51
2005,1,Refrigerants & Chemicals,874.4
2005,1,Fertilizer & Animals,1.33
2005,2,Purchased Electricity,"22,727.06"
2005,3,Faculty Commuting,264.51
2005,3,Staff Commuting,972.23
2005,3,Student Commuting,184.37
2005,3,Directly Financed Air Travel,"1,450.53"
2005,3,Other Directly Financed Travel,1.25
2005,3,Study Abroad Air Travel,617.59
2005,3,Solid Waste,"3,805.56"
2005,3,Paper Purchasing,77.18
2005,3,T&D Losses,"2,247.73"
2005,3,FERA,"4,155.02"
2006,1,Co-gen Steam,"9,713.67"
2006,1,Other On-Campus Stationary,883.06
2006,1,Direct Transportation,562.7
2006,1,Refrigerants & Chemicals,877.07
2006,1,Fertilizer & Animals,1.33
2006,2,Purchased Electricity,"23,286.18"
2006,3,Faculty Commuting,259.33
2006,3,Staff Commuting,953.3
2006,3,Student Commuting,180.83
2006,3,Directly Financed Air Travel,"1,409.97"
2006,3,Other Directly Financed Travel,1.25
2006,3,Study Abroad Air Travel,600.33
2006,3,Solid Waste,"3,805.56"
2006,3,Paper Purchasing,77.18
2006,3,T&D Losses,"2,303.03"
2006,3,FERA,"3,723.03"
2007,1,Co-gen Steam,"7,421.20"
2007,1,Other On-Campus Stationary,889.97
2007,1,Direct Transportation,560.99
2007,1,Refrigerants & Chemicals,877.07
2007,1,Fertilizer & Animals,1.33
2007,2,Purchased Electricity,"19,884.45"
2007,3,Faculty Commuting,254.99
2007,3,Staff Commuting,937.98
2007,3,Student Commuting,177.9
2007,3,Directly Financed Air Travel,"1,364.40"
2007,3,Other Directly Financed Travel,1.24
2007,3,Study Abroad Air Travel,580.92
2007,3,Solid Waste,"3,805.56"
2007,3,Paper Purchasing,77.18
2007,3,T&D Losses,"1,966.59"
2007,3,FERA,"3,337.32"
2008,1,Co-gen Steam,"7,275.29"
2008,1,Other On-Campus Stationary,871.99
2008,1,Direct Transportation,521.84
2008,1,Refrigerants & Chemicals,877.07
2008,1,Fertilizer & Animals,1.33
2008,2,Purchased Electricity,"19,002.24"
2008,3,Faculty Commuting,249
2008,3,Staff Commuting,915.81
2008,3,Student Commuting,173.64
2008,3,Directly Financed Air Travel,"1,245.74"
2008,3,Other Directly Financed Travel,1.24
2008,3,Study Abroad Air Travel,561.04
2008,3,Solid Waste,"3,805.56"
2008,3,Paper Purchasing,77.18
2008,3,T&D Losses,"1,879.34"
2008,3,FERA,"3,271.32"
2009,1,Co-gen Steam,"9,163.35"
2009,1,Other On-Campus Stationary,540.95
2009,1,Direct Transportation,493.48
2009,1,Refrigerants & Chemicals,877.07
2009,1,Fertilizer & Animals,1.33
2009,2,Purchased Electricity,"17,609.60"
2009,3,Faculty Commuting,248.43
2009,3,Staff Commuting,915.06
2009,3,Student Commuting,173.47
2009,3,Directly Financed Air Travel,"1,572.13"
2009,3,Other Directly Financed Travel,1.16
2009,3,Study Abroad Air Travel,530.17
2009,3,Solid Waste,"3,978.54"
2009,3,Paper Purchasing,77.18
2009,3,T&D Losses,"1,741.61"
2009,3,FERA,"3,896.23"
2010,1,Co-gen Steam,"8,113.38"
2010,1,Other On-Campus Stationary,563.06
2010,1,Direct Transportation,462.05
2010,1,Refrigerants & Chemicals,877.07
